,place_resid,stateco_resid,placename_resid,place_work,stateco_work,placename_work,county_resid,county_work,FLOW_FLAG,total00,yr00_total,yr00_dralone,yr00_carpool2,yr00_carpool3,yr00_carpool4,yr00_carpool56,yr00_carpool7p,yr00_bus,yr00_trolley,yr00_subway,yr00_railroad,yr00_ferry,yr00_bicycle,yr00_walk,yr00_taxi,yr00_mcycle,yr00_other,yr00_athome,yr00_transit,yr00_carpool3p,yr00_totalnh,tt00_totalnh,tt00_dralone,tt00_carpool2,tt00_carpool3p,tt00_btransit,tt00_rtransit,tt00_other5,aggtime00,yr00_driver,yr00_vehocc,yr00_carpdriver,yr00_carpocc,commute_id
205,00562,6001,Alameda,53000,6001,Oakland,Alameda,Alameda,Y,9045.0,9045.0,6860.0,975.0,165.0,40.0,20.0,4.0,750.0,0.0,40.0,0.0,20.0,70.0,30.0,15.0,30.0,30.0,0.0,810.0,229.0,9045.0,20.0,18.2,18.8,21.6,35.0,45.8,19.8,180605.0,7415.0,1.09,555.0,2.16,005626001530006001
310,00618,6013,Alamo,53000,6001,Oakland,Contra Costa,Alameda,Y,420.0,420.0,375.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,420.0,31.3,31.1,20.0,0.0,0.0,43.1,20.0,13210.0,385.0,1.02,10.0,2.0,006186013530006001
387,00674,6001,Albany,53000,6001,Oakland,Alameda,Alameda,Y,1070.0,1070.0,710.0,50.0,15.0,0.0,0.0,0.0,40.0,4.0,195.0,0.0,0.0,4.0,4.0,10.0,4.0,30.0,0.0,239.0,15.0,1070.0,28.6,25.3,36.5,16.9,58.6,34.0,26.2,30625.0,740.0,1.05,30.0,2.14,006746001530006001
968,01458,6085,Alum Rock,53000,6001,Oakland,Santa Clara,Alameda,Y,25.0,25.0,10.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,25.0,57.5,60.0,0.0,45.0,75.0,0.0,0.0,1380.0,10.0,1.61,4.0,5.0,014586085530006001
1016,01640,6055,American Canyon,53000,6001,Oakland,Napa,Alameda,Y,145.0,145.0,110.0,15.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,145.0,46.6,46.8,39.7,51.9,0.0,0.0,0.0,6760.0,125.0,1.17,15.0,2.58,016406055530006001
1182,02000,6059,Anaheim,53000,6001,Oakland,Orange,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,360.0,4.0,1.0,0.0,0.0,020006059530006001
1398,02252,6013,Antioch,53000,6001,Oakland,Contra Costa,Alameda,Y,1975.0,1975.0,1305.0,285.0,50.0,10.0,4.0,15.0,20.0,0.0,220.0,10.0,0.0,4.0,0.0,0.0,4.0,45.0,0.0,250.0,79.0,1975.0,62.2,57.6,71.0,69.6,60.8,72.7,68.8,122935.0,1470.0,1.14,165.0,2.22,022526013530006001
1790,02476,6023,Arcata,53000,6001,Oakland,Humboldt,Alameda,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,1.0,0.0,0.0,024766023530006001
1852,02553,6067,Arden-Arcade,53000,6001,Oakland,Sacramento,Alameda,Y,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,85.6,85.6,0.0,0.0,0.0,0.0,0.0,2910.0,35.0,1.0,0.0,0.0,025536067530006001
2200,02980,6001,Ashland,53000,6001,Oakland,Alameda,Alameda,Y,1575.0,1575.0,1050.0,175.0,70.0,10.0,0.0,0.0,45.0,4.0,155.0,20.0,0.0,4.0,15.0,10.0,0.0,4.0,0.0,224.0,80.0,1575.0,24.4,21.5,21.5,21.5,19.7,45.5,27.0,38380.0,1165.0,1.12,115.0,2.24,029806001530006001
